user,email,password,ScoreRangeOperaties,SearchCountryOperaties,BBPOperaties,CompareOperaties
Ben,ben@example.com,password1,5,8,3,7
Joe,joe@example.com,password2,7,6,4,9
Marie,marie@example.com,password3,6,9,5,8
Stijn,stijn@example.com,password4,8,7,6,9
Thomas,thomas@example.com,password5,9,5,7,8
Ibe,ibe@example.com,password,8,19,7,5
Britt,britt@example.com,password1,1,0,0,0
Jos,jos@example.com,password,0,0,0,0
Louis,louis@example.com,password,0,0,0,0
Pedro,pedro@example.com,password,0,0,0,0
Vic,vic@example.com,password,0,0,0,0
Sofie,sofie@example.com,password,1,1,2,1
Robbe,robbe@example.com,password,2,2,3,1
Mike,mike@example.com,password,2,1,1,1
